2026-02-26 15:44:44,879 | INFO | uvicorn.error | Started server process [5502]
2026-02-26 15:50:15,318 | INFO | uvicorn.access | 127.0.0.1:62907 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:50:20,747 | INFO | app | [2362abca] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (20.72ms)
2026-02-26 15:50:20,747 | INFO | uvicorn.access | 127.0.0.1:62943 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:50:43,223 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:50:43,225 | INFO | app | [3f72aace] GET /api/v1/tasks?page=1&page_size=10 -> 200 (26.74ms)
2026-02-26 15:50:43,225 | INFO | uvicorn.access | 127.0.0.1:63084 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:51:44,661 | INFO | app | [6aed1b0c] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (28.62ms)
2026-02-26 15:51:44,661 | INFO | uvicorn.access | 127.0.0.1:63464 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:51:48,201 | INFO | app | [f69845a7] OPTIONS /api/v1/uploads/workflow -> 200 (0.66ms)
2026-02-26 15:51:48,201 | INFO | uvicorn.access | 127.0.0.1:63464 - "OPTIONS /api/v1/uploads/workflow HTTP/1.1" 200
2026-02-26 15:51:48,215 | INFO | app | [bd3f3f77] POST /api/v1/uploads/workflow -> 200 (10.40ms)
2026-02-26 15:51:48,216 | INFO | uvicorn.access | 127.0.0.1:63464 - "POST /api/v1/uploads/workflow HTTP/1.1" 200
2026-02-26 15:51:52,871 | INFO | app | [b103e9f1] OPTIONS /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (0.27ms)
2026-02-26 15:51:52,872 | INFO | uvicorn.access | 127.0.0.1:63514 - "OPTIONS /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:51:52,968 | INFO | app | [b2160fac] PATCH /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (94.94ms)
2026-02-26 15:51:52,968 | INFO | uvicorn.access | 127.0.0.1:63514 - "PATCH /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:51:52,997 | INFO | app | [b0f3df5d] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (16.03ms)
2026-02-26 15:51:52,998 | INFO | uvicorn.access | 127.0.0.1:63514 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:51:56,077 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:51:56,079 | INFO | app | [eb491fe5] GET /api/v1/tasks?page=1&page_size=10 -> 200 (27.51ms)
2026-02-26 15:51:56,079 | INFO | uvicorn.access | 127.0.0.1:63532 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:52:00,745 | INFO | app | [002f6d18] OPTIONS /api/v1/execution/task/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (0.90ms)
2026-02-26 15:52:00,746 | INFO | uvicorn.access | 127.0.0.1:63562 - "OPTIONS /api/v1/execution/task/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:52:02,983 | INFO | httpx | HTTP Request: POST http://34.59.208.230:8190/api/prompt "HTTP/1.1 200 OK"
2026-02-26 15:52:02,989 | INFO | app.comfyui | Connecting to ComfyUI WS: ws://34.59.208.230:8190/ws?clientId=95e265e3327b4ff6b37e752465ecf1cc
2026-02-26 15:52:02,995 | INFO | app | [4b2b22c5] POST /api/v1/execution/task/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (2246.93ms)
2026-02-26 15:52:02,995 | INFO | uvicorn.access | 127.0.0.1:63562 - "POST /api/v1/execution/task/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:52:03,000 | INFO | uvicorn.error | ('127.0.0.1', 63575) - "WebSocket /api/v1/execution/ws/9346c17a-25ab-41f7-a09f-519838aa3bc9" [accepted]
2026-02-26 15:52:03,001 | INFO | app.execution | WS client connected for task 9346c17a-25ab-41f7-a09f-519838aa3bc9 (total: 1)
2026-02-26 15:52:03,002 | INFO | uvicorn.error | connection open
2026-02-26 15:52:03,023 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:52:03,025 | INFO | app | [b260596b] GET /api/v1/tasks?page=1&page_size=10 -> 200 (19.95ms)
2026-02-26 15:52:03,025 | INFO | uvicorn.access | 127.0.0.1:63562 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:52:07,657 | INFO | app.execution | WS client disconnected for task 9346c17a-25ab-41f7-a09f-519838aa3bc9
2026-02-26 15:52:07,658 | INFO | uvicorn.error | connection closed
2026-02-26 15:52:11,763 | INFO | app | [47034623] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (22.88ms)
2026-02-26 15:52:11,763 | INFO | uvicorn.access | 127.0.0.1:63626 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:52:14,084 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:52:14,089 | INFO | app | [ac27f328] GET /api/v1/tasks?page=1&page_size=10 -> 200 (20.88ms)
2026-02-26 15:52:14,090 | INFO | uvicorn.access | 127.0.0.1:63640 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:52:16,383 | INFO | app | [2a14015e] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (17.98ms)
2026-02-26 15:52:16,383 | INFO | uvicorn.access | 127.0.0.1:63640 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:52:23,128 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:52:23,131 | INFO | app | [1b6d0e38] GET /api/v1/tasks?page=1&page_size=10 -> 200 (21.54ms)
2026-02-26 15:52:23,131 | INFO | uvicorn.access | 127.0.0.1:63693 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:52:27,359 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:52:27,361 | INFO | app | [af7ce73f] GET /api/v1/tasks?page=1&page_size=10 -> 200 (20.49ms)
2026-02-26 15:52:27,361 | INFO | uvicorn.access | 127.0.0.1:63723 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:52:50,321 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:52:50,324 | INFO | app | [07356f18] GET /api/v1/tasks?page=1&page_size=10 -> 200 (36.67ms)
2026-02-26 15:52:50,325 | INFO | uvicorn.access | 127.0.0.1:63843 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:52:52,544 | INFO | app | [78466183] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (32.60ms)
2026-02-26 15:52:52,544 | INFO | uvicorn.access | 127.0.0.1:63843 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:52:54,665 | INFO | app | [07533c2f] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (21.83ms)
2026-02-26 15:52:54,665 | INFO | uvicorn.access | 127.0.0.1:63889 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:52:58,755 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:52:58,757 | INFO | app | [70d4818d] GET /api/v1/tasks?page=1&page_size=10 -> 200 (27.81ms)
2026-02-26 15:52:58,757 | INFO | uvicorn.access | 127.0.0.1:63889 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:53:00,972 | INFO | app | [a2a0815d] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (28.07ms)
2026-02-26 15:53:00,972 | INFO | uvicorn.access | 127.0.0.1:63935 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:53:06,723 | INFO | app | [23c88251] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (30.00ms)
2026-02-26 15:53:06,724 | INFO | uvicorn.access | 127.0.0.1:63970 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:53:10,016 | INFO | app | [e76a9cc4] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (38.95ms)
2026-02-26 15:53:10,017 | INFO | uvicorn.access | 127.0.0.1:64011 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:54:32,588 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:54:32,591 | INFO | app | [b0babedd] GET /api/v1/tasks?page=1&page_size=10 -> 200 (41.24ms)
2026-02-26 15:54:32,592 | INFO | uvicorn.access | 127.0.0.1:64528 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:57:34,261 | INFO | app.execution | All prompts completed for task 9346c17a-25ab-41f7-a09f-519838aa3bc9
2026-02-26 15:58:17,060 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:58:17,069 | INFO | app | [321b4c78] GET /api/v1/tasks?page=1&page_size=10 -> 200 (119.69ms)
2026-02-26 15:58:17,069 | INFO | uvicorn.access | 127.0.0.1:49515 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:58:21,800 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:58:21,804 | INFO | app | [c33d154a] GET /api/v1/tasks?page=1&page_size=10 -> 200 (23.20ms)
2026-02-26 15:58:21,804 | INFO | uvicorn.access | 127.0.0.1:49559 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:58:24,454 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:58:24,463 | INFO | app | [fddf5f1a] GET /api/v1/tasks?page=1&page_size=10 -> 200 (57.31ms)
2026-02-26 15:58:24,463 | INFO | uvicorn.access | 127.0.0.1:49593 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:58:32,438 | INFO | app | [91390b37] OPTIONS /api/v1/task-templates?page=1&page_size=10 -> 200 (37.94ms)
2026-02-26 15:58:32,441 | INFO | uvicorn.access | 127.0.0.1:49649 - "OPTIONS /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:58:32,501 | INFO | app | [dbeceebb] GET /api/v1/task-templates?page=1&page_size=10 -> 200 (57.54ms)
2026-02-26 15:58:32,503 | INFO | uvicorn.access | 127.0.0.1:49649 - "GET /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:58:35,172 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:58:35,181 | INFO | app | [af21573e] GET /api/v1/tasks?page=1&page_size=10 -> 200 (23.13ms)
2026-02-26 15:58:35,181 | INFO | uvicorn.access | 127.0.0.1:49663 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:58:36,768 | INFO | app | [96423383] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (32.74ms)
2026-02-26 15:58:36,768 | INFO | uvicorn.access | 127.0.0.1:49663 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 16:00:37,405 | INFO | app | [6d8d2dd5] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (1.81ms)
2026-02-26 16:00:37,407 | INFO | uvicorn.access | 127.0.0.1:50557 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:00:37,442 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:00:37,444 | INFO | app | [218b15fb] GET /api/v1/tasks?page=1&page_size=10 -> 200 (34.47ms)
2026-02-26 16:00:37,444 | INFO | uvicorn.access | 127.0.0.1:50557 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:09:49,863 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:09:49,877 | INFO | app | [58bbf0c7] GET /api/v1/tasks?page=1&page_size=10 -> 200 (89.04ms)
2026-02-26 16:09:49,878 | INFO | uvicorn.access | 127.0.0.1:54572 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:09:50,849 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:09:50,850 | INFO | app | [a33a61e0] GET /api/v1/tasks?page=1&page_size=10 -> 200 (41.75ms)
2026-02-26 16:09:50,850 | INFO | uvicorn.access | 127.0.0.1:54572 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:10:25,139 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:10:25,141 | INFO | app | [d097e91f] GET /api/v1/tasks?page=1&page_size=10 -> 200 (45.11ms)
2026-02-26 16:10:25,142 | INFO | uvicorn.access | 127.0.0.1:54796 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:10:27,084 | INFO | app | [04c30420] OPTIONS /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (0.60ms)
2026-02-26 16:10:27,085 | INFO | uvicorn.access | 127.0.0.1:54796 - "OPTIONS /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 16:10:27,113 | INFO | app | [43c69cb9] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (26.29ms)
2026-02-26 16:10:27,113 | INFO | uvicorn.access | 127.0.0.1:54796 - "GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 16:10:31,221 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:10:31,224 | INFO | app | [31d0f402] GET /api/v1/tasks?page=1&page_size=10 -> 200 (14.80ms)
2026-02-26 16:10:31,224 | INFO | uvicorn.access | 127.0.0.1:54828 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:11:16,745 | INFO | app | [d7016d1f] OPTIONS /api/v1/task-templates?page=1&page_size=100 -> 200 (5.05ms)
2026-02-26 16:11:16,748 | INFO | uvicorn.access | 127.0.0.1:55068 - "OPTIONS /api/v1/task-templates?page=1&page_size=100 HTTP/1.1" 200
2026-02-26 16:11:16,779 | INFO | app | [74c0e5eb] GET /api/v1/task-templates?page=1&page_size=100 -> 200 (28.90ms)
2026-02-26 16:11:16,779 | INFO | uvicorn.access | 127.0.0.1:55068 - "GET /api/v1/task-templates?page=1&page_size=100 HTTP/1.1" 200
2026-02-26 16:13:37,449 | INFO | app | [fba3f98a] OPTIONS /api/v1/uploads/workflow -> 200 (2.01ms)
2026-02-26 16:13:37,451 | INFO | uvicorn.access | 127.0.0.1:55409 - "OPTIONS /api/v1/uploads/workflow HTTP/1.1" 200
2026-02-26 16:13:37,467 | INFO | app | [b9f96a13] POST /api/v1/uploads/workflow -> 200 (12.72ms)
2026-02-26 16:13:37,467 | INFO | uvicorn.access | 127.0.0.1:55409 - "POST /api/v1/uploads/workflow HTTP/1.1" 200
2026-02-26 16:14:07,809 | INFO | app | [e41f7734] OPTIONS /api/v1/tasks -> 200 (7.28ms)
2026-02-26 16:14:07,811 | INFO | uvicorn.access | 127.0.0.1:55455 - "OPTIONS /api/v1/tasks HTTP/1.1" 200
2026-02-26 16:14:07,902 | INFO | app | [d14b0a27] POST /api/v1/tasks -> 200 (89.59ms)
2026-02-26 16:14:07,902 | INFO | uvicorn.access | 127.0.0.1:55455 - "POST /api/v1/tasks HTTP/1.1" 200
2026-02-26 16:14:07,934 | INFO | app | [bc1ef597] OPTIONS /api/v1/tasks/65dd461c-6ea9-413f-9808-57656063ec2d -> 200 (0.42ms)
2026-02-26 16:14:07,934 | INFO | uvicorn.access | 127.0.0.1:55455 - "OPTIONS /api/v1/tasks/65dd461c-6ea9-413f-9808-57656063ec2d HTTP/1.1" 200
2026-02-26 16:14:07,945 | INFO | app | [75731429] GET /api/v1/tasks/65dd461c-6ea9-413f-9808-57656063ec2d -> 200 (9.63ms)
2026-02-26 16:14:07,945 | INFO | uvicorn.access | 127.0.0.1:55455 - "GET /api/v1/tasks/65dd461c-6ea9-413f-9808-57656063ec2d HTTP/1.1" 200
2026-02-26 16:14:10,410 | INFO | app | [4aff7d0f] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (0.27ms)
2026-02-26 16:14:10,410 | INFO | uvicorn.access | 127.0.0.1:55465 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:14:10,426 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=2 total=2
2026-02-26 16:14:10,427 | INFO | app | [94b9af1e] GET /api/v1/tasks?page=1&page_size=10 -> 200 (15.61ms)
2026-02-26 16:14:10,427 | INFO | uvicorn.access | 127.0.0.1:55465 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:14:14,182 | INFO | app | [c47eb2f3] OPTIONS /api/v1/execution/task/65dd461c-6ea9-413f-9808-57656063ec2d -> 200 (0.34ms)
2026-02-26 16:14:14,182 | INFO | uvicorn.access | 127.0.0.1:55484 - "OPTIONS /api/v1/execution/task/65dd461c-6ea9-413f-9808-57656063ec2d HTTP/1.1" 200
2026-02-26 16:14:16,521 | INFO | httpx | HTTP Request: POST http://34.59.208.230:8190/api/prompt "HTTP/1.1 200 OK"
2026-02-26 16:14:16,536 | INFO | app.comfyui | Connecting to ComfyUI WS: ws://34.59.208.230:8190/ws?clientId=46f37affe8634ee6a5552946546147b6
2026-02-26 16:14:16,538 | INFO | app | [dbc98aee] POST /api/v1/execution/task/65dd461c-6ea9-413f-9808-57656063ec2d -> 200 (2352.42ms)
2026-02-26 16:14:16,538 | INFO | uvicorn.access | 127.0.0.1:55486 - "POST /api/v1/execution/task/65dd461c-6ea9-413f-9808-57656063ec2d HTTP/1.1" 200
2026-02-26 16:14:16,542 | INFO | uvicorn.error | ('127.0.0.1', 55504) - "WebSocket /api/v1/execution/ws/65dd461c-6ea9-413f-9808-57656063ec2d" [accepted]
2026-02-26 16:14:16,543 | INFO | app.execution | WS client connected for task 65dd461c-6ea9-413f-9808-57656063ec2d (total: 1)
2026-02-26 16:14:16,543 | INFO | uvicorn.error | connection open
2026-02-26 16:14:16,555 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=2 total=2
2026-02-26 16:14:16,556 | INFO | app | [b92ab8ba] GET /api/v1/tasks?page=1&page_size=10 -> 200 (9.47ms)
2026-02-26 16:14:16,557 | INFO | uvicorn.access | 127.0.0.1:55486 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:14:40,418 | INFO | app.execution | WS client disconnected for task 65dd461c-6ea9-413f-9808-57656063ec2d
2026-02-26 16:14:40,419 | INFO | uvicorn.error | connection closed
2026-02-26 16:16:22,826 | INFO | app | [e6dbde06] DELETE /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (61.16ms)
2026-02-26 16:16:22,826 | INFO | uvicorn.access | 127.0.0.1:56152 - "DELETE /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 16:16:22,848 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:16:22,850 | INFO | app | [3204744b] GET /api/v1/tasks?page=1&page_size=10 -> 200 (13.88ms)
2026-02-26 16:16:22,850 | INFO | uvicorn.access | 127.0.0.1:56152 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:16:28,120 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:16:28,136 | INFO | app | [a914c683] GET /api/v1/tasks?page=1&page_size=10 -> 200 (36.13ms)
2026-02-26 16:16:28,136 | INFO | uvicorn.access | 127.0.0.1:56192 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:27:48,294 | INFO | app | [0624458c] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (3.15ms)
2026-02-26 16:27:48,300 | INFO | uvicorn.access | 127.0.0.1:60702 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:27:48,410 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:27:48,416 | INFO | app | [80a35fc0] GET /api/v1/tasks?page=1&page_size=10 -> 200 (98.76ms)
2026-02-26 16:27:48,416 | INFO | uvicorn.access | 127.0.0.1:60702 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:27:56,480 | INFO | uvicorn.error | Shutting down
2026-02-26 16:27:56,618 | INFO | uvicorn.error | Waiting for application shutdown.
2026-02-26 16:27:56,626 | INFO | uvicorn.error | Application shutdown complete.
2026-02-26 16:27:56,630 | INFO | uvicorn.error | Finished server process [5502]
2026-02-26 16:27:57,937 | INFO | uvicorn.error | Started server process [26835]
2026-02-26 16:27:57,937 | INFO | uvicorn.error | Waiting for application startup.
2026-02-26 16:27:57,944 | INFO | app | Starting API with env=development db=postgresql+asyncpg://postgres:postgres@localhost:5432/task_manager
2026-02-26 16:27:58,157 | INFO | uvicorn.error | Application startup complete.
2026-02-26 16:30:08,212 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:30:08,216 | INFO | app | [ae75039c] GET /api/v1/tasks?page=1&page_size=10 -> 200 (583.31ms)
2026-02-26 16:30:08,217 | INFO | uvicorn.access | 127.0.0.1:61561 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:32:00,537 | INFO | uvicorn.error | ('127.0.0.1', 62312) - "WebSocket /api/v1/execution/ws/65dd461c-6ea9-413f-9808-57656063ec2d" [accepted]
2026-02-26 16:32:00,538 | INFO | app.execution | WS client connected for task 65dd461c-6ea9-413f-9808-57656063ec2d (total: 1)
2026-02-26 16:32:00,543 | INFO | uvicorn.error | connection open
2026-02-26 16:32:05,174 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:32:05,177 | INFO | app | [5dc44579] GET /api/v1/tasks?page=1&page_size=10 -> 200 (20.07ms)
2026-02-26 16:32:05,178 | INFO | uvicorn.access | 127.0.0.1:62340 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:32:06,000 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:32:06,003 | INFO | app | [450e5e2d] GET /api/v1/tasks?page=1&page_size=10 -> 200 (14.02ms)
2026-02-26 16:32:06,003 | INFO | uvicorn.access | 127.0.0.1:62340 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:32:06,316 | INFO | app.execution | WS client disconnected for task 65dd461c-6ea9-413f-9808-57656063ec2d
2026-02-26 16:32:06,317 | INFO | uvicorn.error | connection closed
2026-02-26 16:32:06,746 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 16:32:06,748 | INFO | app | [e24ef47f] GET /api/v1/tasks?page=1&page_size=10 -> 200 (13.78ms)
2026-02-26 16:32:06,748 | INFO | uvicorn.access | 127.0.0.1:62340 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 16:32:07,848 | INFO | uvicorn.error | ('127.0.0.1', 62369) - "WebSocket /api/v1/execution/ws/65dd461c-6ea9-413f-9808-57656063ec2d" [accepted]
2026-02-26 16:32:07,849 | INFO | app.execution | WS client connected for task 65dd461c-6ea9-413f-9808-57656063ec2d (total: 1)
2026-02-26 16:32:07,849 | INFO | uvicorn.error | connection open
